model,w1,w2,rating
gemma3:4b,money,bank,9
gemma3:4b,money,deposit,7
gemma3:4b,money,withdrawal,9
gemma3:4b,money,laundering,7
gemma3:4b,money,operation,1
gemma3:4b,tiger,jaguar,9
gemma3:4b,tiger,feline,9
gemma3:4b,tiger,carnivore,8
gemma3:4b,tiger,mammal,6
gemma3:4b,tiger,animal,9
gemma3:4b,tiger,organism,3
gemma3:4b,tiger,fauna,4
gemma3:4b,tiger,zoo,6
gemma3:4b,psychology,psychiatry,9
gemma3:4b,psychology,anxiety,9
gemma3:4b,psychology,fear,6
gemma3:4b,psychology,depression,9
gemma3:4b,psychology,clinic,7
gemma3:4b,psychology,doctor,6
gemma3:4b,psychology,Freud,9
gemma3:4b,psychology,mind,9
gemma3:4b,psychology,health,6
gemma3:4b,psychology,science,8
gemma3:4b,psychology,discipline,4
gemma3:4b,psychology,cognition,9
gemma3:4b,planet,star,6
gemma3:4b,planet,constellation,4
gemma3:4b,planet,moon,8
gemma3:4b,planet,sun,8
gemma3:4b,planet,galaxy,7
gemma3:4b,planet,space,9
gemma3:4b,planet,astronomer,7
gemma3:4b,precedent,example,8
gemma3:4b,precedent,information,3
gemma3:4b,precedent,cognition,3
gemma3:4b,precedent,law,9
gemma3:4b,precedent,collection,3
gemma3:4b,precedent,group,3
gemma3:4b,precedent,antecedent,9
gemma3:4b,cup,coffee,9
gemma3:4b,cup,tableware,8
gemma3:4b,cup,article,3
gemma3:4b,cup,artifact,3
gemma3:4b,cup,object,6
gemma3:4b,cup,entity,2
gemma3:4b,cup,drink,9
gemma3:4b,cup,food,3
gemma3:4b,cup,substance,3
gemma3:4b,cup,liquid,9
gemma3:4b,jaguar,cat,8
gemma3:4b,jaguar,car,3
gemma3:4b,energy,secretary,1
gemma3:4b,[1],[2],1
gemma3:4b,energy,laboratory,5
gemma3:4b,computer,laboratory,6
gemma3:4b,weapon,secret,3
gemma3:4b,FBI,fingerprint,3
gemma3:4b,FBI,investigation,9
gemma3:4b,investigation,effort,6
gemma3:4b,Mars,water,3
gemma3:4b,Mars,scientist,3
gemma3:4b,news,report,9
gemma3:4b,canyon,landscape,8
gemma3:4b,image,surface,3
gemma3:4b,discovery,space,6
gemma3:4b,water,seepage,6
gemma3:4b,sign,recess,3
gemma3:4b,Wednesday,news,4
gemma3:4b,mile,kilometer,9
gemma3:4b,computer,news,3
gemma3:4b,atmosphere,landscape,7
gemma3:4b,war,troops,9
gemma3:4b,record,number,6
gemma3:4b,skin,eye,3
gemma3:4b,Japanese,American,1
gemma3:4b,theater,history,3
gemma3:4b,volunteer,motto,3
gemma3:4b,prejudice,recognition,3
gemma3:4b,century,year,9
gemma3:4b,century,nation,3
gemma3:4b,delay,racism,1
gemma3:4b,delay,news,7
gemma3:4b,minister,party,7
gemma3:4b,peace,plan,3
gemma3:4b,minority,peace,3
gemma3:4b,attempt,peace,3
gemma3:4b,government,crisis,7
gemma3:4b,deployment,departure,7
gemma3:4b,deployment,withdrawal,4
gemma3:4b,energy,crisis,6
gemma3:4b,announcement,news,10
gemma3:4b,announcement,effort,3
gemma3:4b,stroke,hospital,8
gemma3:4b,disability,death,3
gemma3:4b,victim,emergency,7
gemma3:4b,treatment,recovery,9
gemma3:4b,journal,association,5
gemma3:4b,doctor,personnel,3
gemma3:4b,doctor,liability,3
gemma3:4b,liability,insurance,9
gemma3:4b,school,center,5
gemma3:4b,reason,hypertension,2
gemma3:4b,reason,criterion,4
gemma3:4b,hundred,percent,8
gemma3:4b,Harvard,Yale,9
gemma3:4b,hospital,infrastructure,3
gemma3:4b,death,row,1
gemma3:4b,death,inmate,3
gemma3:4b,lawyer,evidence,4
gemma3:4b,life,death,8
gemma3:4b,life,term,5
gemma3:4b,word,similarity,9
gemma3:4b,board,recommendation,6
gemma3:4b,governor,interview,3
gemma3:4b,OPEC,country,3
gemma3:4b,peace,atmosphere,3
gemma3:4b,peace,insurance,1
gemma3:4b,territory,kilometer,2
gemma3:4b,travel,activity,9
gemma3:4b,competition,price,6
gemma3:4b,consumer,confidence,3
gemma3:4b,consumer,energy,3
gemma3:4b,problem,airport,1
gemma3:4b,credit,card,9
gemma3:4b,credit,information,6
gemma3:4b,hotel,reservation,9
gemma3:4b,grocery,money,3
gemma3:4b,registration,arrangement,3
gemma3:4b,arrangement,accommodation,6
gemma3:4b,type,kind,10
gemma3:4b,arrival,hotel,8
gemma3:4b,bed,closet,3
gemma3:4b,closet,clothes,9
gemma3:4b,situation,conclusion,8
gemma3:4b,situation,isolation,7
gemma3:4b,impartiality,interest,3
gemma3:4b,direction,combination,3
gemma3:4b,street,place,8
gemma3:4b,street,avenue,9
gemma3:4b,street,block,9
gemma3:4b,street,children,3
gemma3:4b,listing,proximity,3
gemma3:4b,listing,category,9
gemma3:4b,cell,phone,6
gemma3:4b,production,hike,3
gemma3:4b,benchmark,index,9
gemma3:4b,media,trading,3
gemma3:4b,media,gain,3
gemma3:4b,dividend,payment,9
gemma3:4b,dividend,calculation,7
gemma3:4b,calculation,computation,10
gemma3:4b,currency,market,7
gemma3:4b,OPEC,oil,9
gemma3:4b,oil,stock,5
gemma3:4b,announcement,production,4
gemma3:4b,announcement,warning,7
gemma3:4b,profit,warning,3
gemma3:4b,profit,loss,5
gemma3:4b,dollar,yen,6
gemma3:4b,dollar,buck,9
gemma3:4b,dollar,profit,7
gemma3:4b,dollar,loss,3
gemma3:4b,computer,software,9
gemma3:4b,network,hardware,5
gemma3:4b,phone,equipment,6
gemma3:4b,equipment,maker,4
gemma3:4b,luxury,car,9
gemma3:4b,five,month,3
gemma3:4b,report,gain,5
gemma3:4b,investor,earning,6
gemma3:4b,liquid,water,10
gemma3:4b,baseball,season,9
gemma3:4b,game,victory,9
gemma3:4b,game,team,8
gemma3:4b,marathon,sprint,3
gemma3:4b,game,series,8
gemma3:4b,game,defeat,8
gemma3:4b,seven,series,3
gemma3:4b,seafood,sea,10
gemma3:4b,seafood,food,8
gemma3:4b,seafood,lobster,10
gemma3:4b,lobster,food,8
gemma3:4b,lobster,wine,1
gemma3:4b,food,preparation,8
gemma3:4b,video,archive,6
gemma3:4b,start,year,3
gemma3:4b,start,match,4
gemma3:4b,game,round,9
gemma3:4b,boxing,round,7
gemma3:4b,championship,tournament,9
gemma3:4b,fighting,defeating,9
gemma3:4b,line,insurance,2
gemma3:4b,day,summer,6
gemma3:4b,summer,drought,4
gemma3:4b,summer,nature,7
gemma3:4b,day,dawn,9
gemma3:4b,nature,environment,10
gemma3:4b,environment,ecology,10
gemma3:4b,nature,man,3
gemma3:4b,man,woman,8
gemma3:4b,man,governor,6
gemma3:4b,murder,manslaughter,8
gemma3:4b,soap,opera,1
gemma3:4b,opera,performance,9
gemma3:4b,life,lesson,8
gemma3:4b,focus,life,7
gemma3:4b,production,crew,8
gemma3:4b,television,film,6
gemma3:4b,lover,quarrel,3
gemma3:4b,viewer,serial,7
gemma3:4b,possibility,girl,3
gemma3:4b,population,development,7
gemma3:4b,morality,importance,7
gemma3:4b,morality,marriage,6
gemma3:4b,Mexico,Brazil,5
gemma3:4b,gender,equality,6
gemma3:4b,change,attitude,7
gemma3:4b,family,planning,3
gemma3:4b,opera,industry,3
gemma3:4b,sugar,approach,1
gemma3:4b,practice,institution,3
gemma3:4b,ministry,culture,6
gemma3:4b,problem,challenge,9
gemma3:4b,size,prominence,4
gemma3:4b,country,citizen,8
gemma3:4b,planet,people,3
gemma3:4b,development,issue,6
gemma3:4b,experience,music,3
gemma3:4b,music,project,3
gemma3:4b,glass,metal,3
gemma3:4b,aluminum,metal,10
gemma3:4b,chance,credibility,3
gemma3:4b,exhibit,memorabilia,4
gemma3:4b,concert,virtuoso,8
gemma3:4b,rock,jazz,3
gemma3:4b,museum,theater,3
gemma3:4b,observation,architecture,3
gemma3:4b,space,world,9
gemma3:4b,preservation,world,3
gemma3:4b,admission,ticket,3
gemma3:4b,shower,thunderstorm,7
gemma3:4b,shower,flood,5
gemma3:4b,weather,forecast,9
gemma3:4b,disaster,area,3
gemma3:4b,governor,office,9
gemma3:4b,architecture,century,3
